Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	
kirby127b_3_1_ax.img	midbrain_L	5196	84.0000	299.0000	234.6226	26.7128	
kirby127b_3_1_ax.img	midbrain_R	5339	82.0000	329.0000	240.1832	29.2704	
kirby127b_3_1_ax.img	Cerebellum_R	71954	1.0000	267.0000	138.4244	46.9450	
kirby127b_3_1_ax.img	Cerebellum_L	72724	2.0000	266.0000	124.4377	43.7583	
kirby127b_3_1_ax.img	Pons_L	7492	56.0000	290.0000	226.4868	26.0570	
kirby127b_3_1_ax.img	Pons_R	8078	42.0000	297.0000	233.1208	24.6042	
kirby127b_3_1_ax.img	Medulla_L	2331	7.0000	267.0000	201.6267	38.6483	
kirby127b_3_1_ax.img	Medulla_R	2510	40.0000	264.0000	210.1506	30.6821	
kirby127b_3_1_ax.img	AnteriorWM_L	88175	9.0000	353.0000	176.6321	33.5079	
kirby127b_3_1_ax.img	AnteriorWM_R	91076	16.0000	294.0000	177.7434	32.1041	
kirby127b_3_1_ax.img	PosteriorWM_L	69939	28.0000	267.0000	158.0926	28.9454	
kirby127b_3_1_ax.img	PosteriorWM_R	70986	14.0000	278.0000	172.4367	32.4255	
kirby127b_3_1_ax.img	CorpusCallosum_L	12254	33.0000	291.0000	214.1013	33.6508	
kirby127b_3_1_ax.img	CorpusCallosum_R	13152	15.0000	299.0000	221.1932	31.8443	
kirby127b_3_1_ax.img	InferiorWM_L	56470	18.0000	279.0000	182.9483	32.3717	
kirby127b_3_1_ax.img	InferiorWM_R	56746	18.0000	288.0000	200.0015	34.5356	
kirby127b_3_1_ax.img	LimbicWM_L	14338	28.0000	293.0000	192.9220	34.4162	
kirby127b_3_1_ax.img	LimbicWM_R	13521	34.0000	302.0000	198.1689	37.4085	
kirby127b_3_1_ax.img	LateralVentricle_L	21251	0.0000e+00	249.0000	35.0788	31.1730	
kirby127b_3_1_ax.img	LateralVentricle_R	19210	0.0000e+00	238.0000	38.0878	33.6050	
kirby127b_3_1_ax.img	III_ventricle	2386	15.0000	250.0000	79.6348	37.2932	
kirby127b_3_1_ax.img	FrontSul_L	14816	0.0000e+00	98.0000	32.5927	17.4165	
kirby127b_3_1_ax.img	FrontSul_R	10866	0.0000e+00	97.0000	31.7031	18.0362	
kirby127b_3_1_ax.img	CentralSul_L	2084	0.0000e+00	87.0000	27.2972	15.8633	
kirby127b_3_1_ax.img	CentralSul_R	1722	0.0000e+00	101.0000	32.9101	17.6755	
kirby127b_3_1_ax.img	SylvianFissureExt_L	3860	0.0000e+00	122.0000	33.5600	19.6845	
kirby127b_3_1_ax.img	SylvianFissureExt_R	2993	0.0000e+00	115.0000	39.5826	19.9655	
kirby127b_3_1_ax.img	ParietSul_L	8559	0.0000e+00	94.0000	29.9877	17.7326	
kirby127b_3_1_ax.img	ParietSul_R	9587	0.0000e+00	99.0000	29.6100	18.4077	
kirby127b_3_1_ax.img	CinguSul_L	1448	1.0000	118.0000	50.5431	19.5811	
kirby127b_3_1_ax.img	CinguSul_R	1510	2.0000	161.0000	49.8315	22.8940	
kirby127b_3_1_ax.img	OcciptSul_L	1809	1.0000	102.0000	33.2581	18.2867	
kirby127b_3_1_ax.img	OcciptSul_R	1997	0.0000e+00	133.0000	37.6737	20.6919	
kirby127b_3_1_ax.img	TempSul_L	1067	2.0000	106.0000	37.3678	16.5040	
kirby127b_3_1_ax.img	TempSul_R	825	3.0000	125.0000	42.7540	18.7848	
kirby127b_3_1_ax.img	IV_ventricle	2728	3.0000	247.0000	67.1813	39.6675	



Type1-L4 Statistics

kirby127b_3_1_ax.img	SFG_L	28553	4.0000	201.0000	82.4428	24.0467	
kirby127b_3_1_ax.img	SFG_R	26655	3.0000	187.0000	83.9800	23.4123	
kirby127b_3_1_ax.img	MFG_L	26651	2.0000	180.0000	83.4290	23.9132	
kirby127b_3_1_ax.img	MFG_R	27930	11.0000	175.0000	85.5680	21.9131	
kirby127b_3_1_ax.img	IFG_L	13031	1.0000	189.0000	92.2303	24.5729	
kirby127b_3_1_ax.img	IFG_R	11555	9.0000	178.0000	94.3661	22.6168	
kirby127b_3_1_ax.img	OG_L	9572	7.0000	235.0000	110.3418	28.1641	
kirby127b_3_1_ax.img	OG_R	9293	13.0000	229.0000	109.1362	26.9439	
kirby127b_3_1_ax.img	RG_L	6480	13.0000	213.0000	110.9522	27.0685	
kirby127b_3_1_ax.img	RG_R	6294	23.0000	237.0000	113.0862	25.3059	
kirby127b_3_1_ax.img	PoCG_L	10709	9.0000	160.0000	79.2713	22.5449	
kirby127b_3_1_ax.img	PoCG_R	11270	5.0000	177.0000	85.4920	24.9394	
kirby127b_3_1_ax.img	PrCG_L	15078	2.0000	170.0000	79.7311	23.2742	
kirby127b_3_1_ax.img	PrCG_R	17558	4.0000	173.0000	87.8885	24.1555	
kirby127b_3_1_ax.img	SPG_L	7674	7.0000	158.0000	81.0142	22.5497	
kirby127b_3_1_ax.img	SPG_R	7278	11.0000	171.0000	86.6879	23.8882	
kirby127b_3_1_ax.img	SMG_L	8708	7.0000	168.0000	80.2573	23.5784	
kirby127b_3_1_ax.img	SMG_R	9527	7.0000	205.0000	88.5994	24.2184	
kirby127b_3_1_ax.img	AG_L	7493	4.0000	156.0000	77.8724	21.9961	
kirby127b_3_1_ax.img	AG_R	13280	1.0000	174.0000	85.6496	24.4867	
kirby127b_3_1_ax.img	PrCu_L	7389	2.0000	162.0000	82.6237	23.2784	
kirby127b_3_1_ax.img	PrCu_R	6590	7.0000	182.0000	85.2608	24.3624	
kirby127b_3_1_ax.img	STG_L	17765	1.0000	194.0000	91.5648	25.8112	
kirby127b_3_1_ax.img	STG_R	16556	3.0000	201.0000	101.9973	27.5248	
kirby127b_3_1_ax.img	MTG_L	18932	0.0000e+00	195.0000	88.7406	23.3480	
kirby127b_3_1_ax.img	MTG_R	20164	2.0000	200.0000	99.7002	23.9930	
kirby127b_3_1_ax.img	ITG_L	12892	7.0000	194.0000	95.0564	24.0611	
kirby127b_3_1_ax.img	ITG_R	12444	4.0000	205.0000	108.5842	24.2612	
kirby127b_3_1_ax.img	Limbic_L	2146	22.0000	216.0000	141.3619	23.7293	
kirby127b_3_1_ax.img	Limbic_R	2319	24.0000	239.0000	149.6061	30.0894	
kirby127b_3_1_ax.img	FuG_L	14360	3.0000	203.0000	102.6681	26.1249	
kirby127b_3_1_ax.img	FuG_R	13882	4.0000	221.0000	116.5328	27.7935	
kirby127b_3_1_ax.img	SOG_L	2498	3.0000	177.0000	89.5627	24.5006	
kirby127b_3_1_ax.img	SOG_R	2265	17.0000	174.0000	93.6762	25.6526	
kirby127b_3_1_ax.img	MOG_L	16206	2.0000	157.0000	80.5995	23.1507	
kirby127b_3_1_ax.img	MOG_R	14230	3.0000	203.0000	88.8998	25.5578	
kirby127b_3_1_ax.img	IOG_L	4276	3.0000	174.0000	82.6458	23.8043	
kirby127b_3_1_ax.img	IOG_R	4485	0.0000e+00	181.0000	95.9987	27.5488	
kirby127b_3_1_ax.img	Cu_L	6044	4.0000	194.0000	89.6416	26.7416	
kirby127b_3_1_ax.img	Cu_R	6658	3.0000	198.0000	92.3911	29.1946	
kirby127b_3_1_ax.img	LG_L	8267	1.0000	192.0000	103.4903	31.4587	
kirby127b_3_1_ax.img	LG_R	7310	3.0000	207.0000	109.0990	33.8375	
kirby127b_3_1_ax.img	Cingulate_L	22976	8.0000	292.0000	111.0001	30.6044	
kirby127b_3_1_ax.img	Cingulate_R	26442	4.0000	280.0000	109.7323	29.1870	
kirby127b_3_1_ax.img	Insula_L	7419	1.0000	195.0000	107.2975	23.2051	
kirby127b_3_1_ax.img	Insula_R	7336	10.0000	231.0000	114.1940	24.9307	
kirby127b_3_1_ax.img	Amyg_L	2024	16.0000	241.0000	144.8144	20.9270	
kirby127b_3_1_ax.img	Amyg_R	2411	45.0000	242.0000	154.8756	20.9353	
kirby127b_3_1_ax.img	Hippo_L	4025	29.0000	232.0000	143.3098	24.5598	
kirby127b_3_1_ax.img	Hippo_R	3854	33.0000	254.0000	153.1130	25.8309	
kirby127b_3_1_ax.img	Caud_L	3592	29.0000	254.0000	162.2603	25.0560	
kirby127b_3_1_ax.img	Caud_R	3742	39.0000	246.0000	162.5022	22.1988	
kirby127b_3_1_ax.img	Put_L	4295	82.0000	256.0000	173.1207	14.7634	
kirby127b_3_1_ax.img	Put_R	4168	93.0000	267.0000	179.8592	16.3098	
kirby127b_3_1_ax.img	GP_L	1332	159.0000	279.0000	220.5910	14.6265	
kirby127b_3_1_ax.img	GP_R	1485	189.0000	288.0000	231.6435	13.4451	
kirby127b_3_1_ax.img	Thalamus_L	6473	65.0000	271.0000	197.6120	22.4848	
kirby127b_3_1_ax.img	Thalamus_R	6624	54.0000	267.0000	201.7431	26.0822	
kirby127b_3_1_ax.img	BasalForebrain_L	4002	44.0000	301.0000	197.0804	41.0916	
kirby127b_3_1_ax.img	BasalForebrain_R	3899	57.0000	328.0000	196.9689	41.2121	
kirby127b_3_1_ax.img	midbrain_L	5196	84.0000	299.0000	234.6226	26.7128	
kirby127b_3_1_ax.img	midbrain_R	5339	82.0000	329.0000	240.1832	29.2704	
kirby127b_3_1_ax.img	Cerebellum_R	58648	1.0000	242.0000	122.7643	34.9906	
kirby127b_3_1_ax.img	Cerebellum_L	60185	2.0000	266.0000	110.7982	33.3927	
kirby127b_3_1_ax.img	Pons_L	7492	56.0000	290.0000	226.4868	26.0570	
kirby127b_3_1_ax.img	Pons_R	8078	42.0000	297.0000	233.1208	24.6042	
kirby127b_3_1_ax.img	Medulla_L	2331	7.0000	267.0000	201.6267	38.6483	
kirby127b_3_1_ax.img	Medulla_R	2510	40.0000	264.0000	210.1506	30.6821	
kirby127b_3_1_ax.img	ant_DPWM_L	27578	122.0000	263.0000	202.6507	17.2238	
kirby127b_3_1_ax.img	ant_DPWM_R	28949	126.0000	284.0000	205.1828	15.2268	
kirby127b_3_1_ax.img	post_DPWM_L	4875	147.0000	224.0000	191.1044	8.5620	
kirby127b_3_1_ax.img	post_DPWM_R	3838	163.0000	248.0000	211.8868	9.5374	
kirby127b_3_1_ax.img	GCC_L	2493	61.0000	291.0000	233.3804	28.7080	
kirby127b_3_1_ax.img	GCC_R	2831	69.0000	299.0000	233.8491	27.4182	
kirby127b_3_1_ax.img	BCC_L	4224	33.0000	263.0000	202.5403	35.0766	
kirby127b_3_1_ax.img	BCC_R	4368	15.0000	266.0000	207.0508	35.3070	
kirby127b_3_1_ax.img	SCC_L	5537	37.0000	287.0000	214.2425	30.4477	
kirby127b_3_1_ax.img	SCC_R	5954	46.0000	285.0000	225.5517	26.9493	
kirby127b_3_1_ax.img	PVA_posterior_L	1181	18.0000	243.0000	135.7012	45.6023	
kirby127b_3_1_ax.img	PVA_posterior_R	1092	14.0000	246.0000	143.1396	53.9948	
kirby127b_3_1_ax.img	ALIC_L	2282	160.0000	279.0000	226.3898	21.0274	
kirby127b_3_1_ax.img	ALIC_R	2430	161.0000	288.0000	229.0188	19.2593	
kirby127b_3_1_ax.img	PLIC_L	3152	150.0000	273.0000	218.5712	17.1124	
kirby127b_3_1_ax.img	PLIC_R	3096	171.0000	279.0000	229.8101	15.5323	
kirby127b_3_1_ax.img	inf_DPWM_L	19241	47.0000	265.0000	191.0068	25.4333	
kirby127b_3_1_ax.img	inf_DPWM_R	18299	76.0000	278.0000	212.8326	29.3710	
kirby127b_3_1_ax.img	CGC_L	3182	112.0000	251.0000	201.7488	26.5041	
kirby127b_3_1_ax.img	CGC_R	3530	96.0000	252.0000	199.2785	28.3181	
kirby127b_3_1_ax.img	CGH_L	1822	116.0000	263.0000	209.9499	27.0129	
kirby127b_3_1_ax.img	CGH_R	1684	131.0000	285.0000	222.9494	31.5104	
kirby127b_3_1_ax.img	Fx/ST_L	1487	73.0000	269.0000	204.9500	28.9958	
kirby127b_3_1_ax.img	Fx/ST_R	1472	48.0000	302.0000	220.0946	33.0311	
kirby127b_3_1_ax.img	Fx_L	946	28.0000	293.0000	158.3490	59.9263	
kirby127b_3_1_ax.img	Fx_R	1001	34.0000	285.0000	157.2326	53.9671	
kirby127b_3_1_ax.img	PeripheralParietalWM_L	32595	57.0000	220.0000	156.9943	27.6549	
kirby127b_3_1_ax.img	PeripheralParietalWM_R	35716	64.0000	237.0000	169.6643	31.1440	
kirby127b_3_1_ax.img	AnteriorLateralVentricle_L	15509	0.0000e+00	249.0000	34.7958	29.3450	
kirby127b_3_1_ax.img	PosteriorLateralVentricle_L	4908	0.0000e+00	184.0000	29.6411	29.4816	
kirby127b_3_1_ax.img	InferiorLateralVentricle_L	834	1.0000	210.0000	72.3424	45.4827	
kirby127b_3_1_ax.img	AnteriorLateralVentricle_R	13924	0.0000e+00	234.0000	36.6097	30.5206	
kirby127b_3_1_ax.img	PosteriorLateralVentricle_R	4404	0.0000e+00	220.0000	34.8777	35.4384	
kirby127b_3_1_ax.img	InferiorLateralVentricle_R	882	1.0000	238.0000	77.4503	44.5445	
kirby127b_3_1_ax.img	III_ventricle	2386	15.0000	250.0000	79.6348	37.2932	
kirby127b_3_1_ax.img	PVA_anterior_L	873	9.0000	241.0000	149.7758	47.2459	
kirby127b_3_1_ax.img	PVA_anterior_R	887	16.0000	228.0000	157.3572	39.0187	
kirby127b_3_1_ax.img	PeripheralFrontalWM_L	59726	64.0000	353.0000	165.0107	32.0913	
kirby127b_3_1_ax.img	PeripheralFrontalWM_R	61240	66.0000	294.0000	165.0676	29.6404	
kirby127b_3_1_ax.img	PeripheralTemporalWM_L	31431	71.0000	262.0000	171.7657	30.8811	
kirby127b_3_1_ax.img	PeripheralTemporalWM_R	32517	61.0000	273.0000	188.4127	33.1565	
kirby127b_3_1_ax.img	PeripheralOccipitalWM_L	31655	46.0000	267.0000	154.7911	28.3230	
kirby127b_3_1_ax.img	PeripheralOccipitalWM_R	30746	48.0000	278.0000	171.4608	31.6163	
kirby127b_3_1_ax.img	PeripheralCingulateWM_L	6903	87.0000	285.0000	186.5056	30.3721	
kirby127b_3_1_ax.img	PeripheralCingulateWM_R	5836	94.0000	266.0000	191.8415	32.7067	
kirby127b_3_1_ax.img	CerebellumWM_R	13306	99.0000	267.0000	207.4500	25.9943	
kirby127b_3_1_ax.img	CerebellumWM_L	12539	94.0000	250.0000	189.9053	23.9668	
kirby127b_3_1_ax.img	FrontSul_L	14816	0.0000e+00	98.0000	32.5927	17.4165	
kirby127b_3_1_ax.img	FrontSul_R	10866	0.0000e+00	97.0000	31.7031	18.0362	
kirby127b_3_1_ax.img	CentralSul_L	2084	0.0000e+00	87.0000	27.2972	15.8633	
kirby127b_3_1_ax.img	CentralSul_R	1722	0.0000e+00	101.0000	32.9101	17.6755	
kirby127b_3_1_ax.img	SylFrontSul_L	1538	0.0000e+00	115.0000	36.0125	19.5541	
kirby127b_3_1_ax.img	SylFrontSul_R	1138	0.0000e+00	115.0000	41.4293	21.0487	
kirby127b_3_1_ax.img	SylTempSul_L	1718	1.0000	122.0000	34.5891	19.4403	
kirby127b_3_1_ax.img	SylTempSul_R	1558	1.0000	112.0000	39.6541	19.6018	
kirby127b_3_1_ax.img	SylParieSul_L	605	0.0000e+00	77.0000	24.4048	18.0420	
kirby127b_3_1_ax.img	SylParieSul_R	298	4.0000	77.0000	32.1492	15.3557	
kirby127b_3_1_ax.img	ParietSul_L	8559	0.0000e+00	94.0000	29.9877	17.7326	
kirby127b_3_1_ax.img	ParietSul_R	9587	0.0000e+00	99.0000	29.6100	18.4077	
kirby127b_3_1_ax.img	CinguSul_L	1448	1.0000	118.0000	50.5431	19.5811	
kirby127b_3_1_ax.img	CinguSul_R	1510	2.0000	161.0000	49.8315	22.8940	
kirby127b_3_1_ax.img	OcciptSul_L	1809	1.0000	102.0000	33.2581	18.2867	
kirby127b_3_1_ax.img	OcciptSul_R	1997	0.0000e+00	133.0000	37.6737	20.6919	
kirby127b_3_1_ax.img	TempSul_L	1067	2.0000	106.0000	37.3678	16.5040	
kirby127b_3_1_ax.img	TempSul_R	825	3.0000	125.0000	42.7540	18.7848	
kirby127b_3_1_ax.img	Caudate_tail_L	364	44.0000	229.0000	137.5182	37.0629	
kirby127b_3_1_ax.img	Caudate_tail_R	328	51.0000	242.0000	146.6777	38.3324	
kirby127b_3_1_ax.img	IV_ventricle	2728	3.0000	247.0000	67.1813	39.6675	



Type1-L5 Statistics

kirby127b_3_1_ax.img	SFG_L	12656	6.0000	167.0000	74.7018	20.3418	
kirby127b_3_1_ax.img	SFG_R	10233	7.0000	152.0000	76.1867	20.0431	
kirby127b_3_1_ax.img	SFG_PFC_L	12869	6.0000	201.0000	86.5772	23.6571	
kirby127b_3_1_ax.img	SFG_PFC_R	11518	3.0000	182.0000	85.9694	22.0237	
kirby127b_3_1_ax.img	SFG_pole_L	3029	4.0000	191.0000	97.2207	28.3363	
kirby127b_3_1_ax.img	SFG_pole_R	4905	5.0000	187.0000	95.5677	27.0459	
kirby127b_3_1_ax.img	MFG_L	10281	2.0000	164.0000	78.0733	21.9949	
kirby127b_3_1_ax.img	MFG_R	11284	11.0000	165.0000	82.0978	21.2336	
kirby127b_3_1_ax.img	MFG_DPFC_L	16371	8.0000	180.0000	86.7923	24.4503	
kirby127b_3_1_ax.img	MFG_DPFC_R	16647	15.0000	175.0000	87.9203	22.0536	
kirby127b_3_1_ax.img	IFG_opercularis_L	4130	1.0000	164.0000	87.0869	23.5341	
kirby127b_3_1_ax.img	IFG_opercularis_R	4011	15.0000	168.0000	93.2819	21.6188	
kirby127b_3_1_ax.img	IFG_orbitalis_L	4505	2.0000	188.0000	95.5165	24.8941	
kirby127b_3_1_ax.img	IFG_orbitalis_R	3840	9.0000	178.0000	95.3234	23.9126	
kirby127b_3_1_ax.img	IFG_triangularis_L	4397	4.0000	189.0000	93.6938	24.4220	
kirby127b_3_1_ax.img	IFG_triangularis_R	3705	12.0000	169.0000	94.5475	22.2388	
kirby127b_3_1_ax.img	LFOG_L	4652	10.0000	193.0000	106.8398	27.1975	
kirby127b_3_1_ax.img	LFOG_R	4599	18.0000	184.0000	104.7351	24.8795	
kirby127b_3_1_ax.img	MFOG_L	4920	7.0000	235.0000	113.6524	28.6575	
kirby127b_3_1_ax.img	MFOG_R	4695	13.0000	229.0000	113.4473	28.1640	
kirby127b_3_1_ax.img	RG_L	6480	13.0000	213.0000	110.9522	27.0685	
kirby127b_3_1_ax.img	RG_R	6294	23.0000	237.0000	113.0862	25.3059	
kirby127b_3_1_ax.img	PoCG_L	10709	9.0000	160.0000	79.2713	22.5449	
kirby127b_3_1_ax.img	PoCG_R	11270	5.0000	177.0000	85.4920	24.9394	
kirby127b_3_1_ax.img	PrCG_L	15078	2.0000	170.0000	79.7311	23.2742	
kirby127b_3_1_ax.img	PrCG_R	17558	4.0000	173.0000	87.8885	24.1555	
kirby127b_3_1_ax.img	SPG_L	7674	7.0000	158.0000	81.0142	22.5497	
kirby127b_3_1_ax.img	SPG_R	7278	11.0000	171.0000	86.6879	23.8882	
kirby127b_3_1_ax.img	SMG_L	8708	7.0000	168.0000	80.2573	23.5784	
kirby127b_3_1_ax.img	SMG_R	9527	7.0000	205.0000	88.5994	24.2184	
kirby127b_3_1_ax.img	AG_L	7493	4.0000	156.0000	77.8724	21.9961	
kirby127b_3_1_ax.img	AG_R	13280	1.0000	174.0000	85.6496	24.4867	
kirby127b_3_1_ax.img	PrCu_L	7389	2.0000	162.0000	82.6237	23.2784	
kirby127b_3_1_ax.img	PrCu_R	6590	7.0000	182.0000	85.2608	24.3624	
kirby127b_3_1_ax.img	STG_L	12956	6.0000	179.0000	89.8257	25.8235	
kirby127b_3_1_ax.img	STG_R	11186	3.0000	201.0000	101.9044	28.8068	
kirby127b_3_1_ax.img	STG_L_pole	4810	1.0000	194.0000	96.2495	25.1876	
kirby127b_3_1_ax.img	STG_R_pole	5370	8.0000	193.0000	102.1908	24.6401	
kirby127b_3_1_ax.img	MTG_L	16319	0.0000e+00	195.0000	86.2271	22.3206	
kirby127b_3_1_ax.img	MTG_R	17067	2.0000	200.0000	98.0237	23.8639	
kirby127b_3_1_ax.img	MTG_L_pole	2613	12.0000	183.0000	104.4410	23.5003	
kirby127b_3_1_ax.img	MTG_R_pole	3098	28.0000	188.0000	108.9384	22.5579	
kirby127b_3_1_ax.img	ITG_L	12892	7.0000	194.0000	95.0564	24.0611	
kirby127b_3_1_ax.img	ITG_R	12444	4.0000	205.0000	108.5842	24.2612	
kirby127b_3_1_ax.img	PHG_L	1205	22.0000	207.0000	137.4801	24.5438	
kirby127b_3_1_ax.img	PHG_R	1232	24.0000	237.0000	149.9211	32.3923	
kirby127b_3_1_ax.img	ENT_L	941	28.0000	216.0000	146.3329	21.6499	
kirby127b_3_1_ax.img	ENT_R	1088	58.0000	239.0000	149.2494	27.2430	
kirby127b_3_1_ax.img	FuG_L	14360	3.0000	203.0000	102.6681	26.1249	
kirby127b_3_1_ax.img	FuG_R	13882	4.0000	221.0000	116.5328	27.7935	
kirby127b_3_1_ax.img	SOG_L	2498	3.0000	177.0000	89.5627	24.5006	
kirby127b_3_1_ax.img	SOG_R	2265	17.0000	174.0000	93.6762	25.6526	
kirby127b_3_1_ax.img	MOG_L	16206	2.0000	157.0000	80.5995	23.1507	
kirby127b_3_1_ax.img	MOG_R	14230	3.0000	203.0000	88.8998	25.5578	
kirby127b_3_1_ax.img	IOG_L	4276	3.0000	174.0000	82.6458	23.8043	
kirby127b_3_1_ax.img	IOG_R	4485	0.0000e+00	181.0000	95.9987	27.5488	
kirby127b_3_1_ax.img	Cu_L	6044	4.0000	194.0000	89.6416	26.7416	
kirby127b_3_1_ax.img	Cu_R	6658	3.0000	198.0000	92.3911	29.1946	
kirby127b_3_1_ax.img	LG_L	8267	1.0000	192.0000	103.4903	31.4587	
kirby127b_3_1_ax.img	LG_R	7310	3.0000	207.0000	109.0990	33.8375	
kirby127b_3_1_ax.img	rostral_ACC_L	2637	21.0000	204.0000	108.4816	21.8714	
kirby127b_3_1_ax.img	rostral_ACC_R	3602	18.0000	194.0000	106.1819	23.9727	
kirby127b_3_1_ax.img	subcallosal_ACC_L	455	29.0000	231.0000	145.3773	33.9969	
kirby127b_3_1_ax.img	subcallosal_ACC_R	539	24.0000	251.0000	130.1269	28.0326	
kirby127b_3_1_ax.img	subgenual_ACC_L	1631	22.0000	292.0000	154.7903	36.6217	
kirby127b_3_1_ax.img	subgenual_ACC_R	1577	4.0000	280.0000	148.3630	39.8002	
kirby127b_3_1_ax.img	dorsal_ACC_L	12410	8.0000	235.0000	102.4844	25.5519	
kirby127b_3_1_ax.img	dorsal_ACC_R	12599	13.0000	253.0000	102.5393	24.4413	
kirby127b_3_1_ax.img	PCC_L	5844	10.0000	217.0000	115.3234	28.5182	
kirby127b_3_1_ax.img	PCC_R	8127	16.0000	230.0000	113.6094	28.5243	
kirby127b_3_1_ax.img	Insula_L	7419	1.0000	195.0000	107.2975	23.2051	
kirby127b_3_1_ax.img	Insula_R	7336	10.0000	231.0000	114.1940	24.9307	
kirby127b_3_1_ax.img	Amyg_L	2024	16.0000	241.0000	144.8144	20.9270	
kirby127b_3_1_ax.img	Amyg_R	2411	45.0000	242.0000	154.8756	20.9353	
