Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	
mkirby849a_3_1_ax_MNI.img	Thalamus_L	6292	84.2346	179.1910	143.1729	13.8508	
mkirby849a_3_1_ax_MNI.img	Thalamus_R	6293	74.6778	179.9725	142.6914	14.4512	
mkirby849a_3_1_ax_MNI.img	BasalForebrain_L	3304	84.6628	201.1302	142.0179	23.1997	
mkirby849a_3_1_ax_MNI.img	BasalForebrain_R	3263	72.6662	198.8287	141.4350	21.6811	
mkirby849a_3_1_ax_MNI.img	midbrain_L	5332	88.6923	199.6359	164.9368	14.4635	
mkirby849a_3_1_ax_MNI.img	midbrain_R	5349	86.8792	207.1547	164.5534	15.7957	
mkirby849a_3_1_ax_MNI.img	Cerebellum_R	76874	16.2645	192.8298	115.8735	29.5798	
mkirby849a_3_1_ax_MNI.img	Cerebellum_L	78039	14.3551	196.0254	117.1218	29.1898	
mkirby849a_3_1_ax_MNI.img	Pons_L	8614	64.0012	190.5970	161.0460	14.5163	
mkirby849a_3_1_ax_MNI.img	Pons_R	8742	79.3945	188.8058	161.1723	12.6536	
mkirby849a_3_1_ax_MNI.img	Medulla_L	2296	49.5922	197.2566	155.3005	24.0181	
mkirby849a_3_1_ax_MNI.img	Medulla_R	2502	60.1097	193.0854	157.5928	20.5408	
mkirby849a_3_1_ax_MNI.img	AnteriorWM_L	81522	43.1954	188.8059	158.5642	15.2648	
mkirby849a_3_1_ax_MNI.img	AnteriorWM_R	84006	66.0015	192.8618	158.1946	14.7714	
mkirby849a_3_1_ax_MNI.img	PosteriorWM_L	76910	62.6689	189.9759	156.1794	16.3326	
mkirby849a_3_1_ax_MNI.img	PosteriorWM_R	78272	62.8497	195.1301	156.1194	16.2589	
mkirby849a_3_1_ax_MNI.img	CorpusCallosum_L	14377	76.9058	188.7761	162.7981	12.5230	
mkirby849a_3_1_ax_MNI.img	CorpusCallosum_R	14423	82.0733	186.0496	162.7969	12.1305	
mkirby849a_3_1_ax_MNI.img	InferiorWM_L	61251	55.7539	194.9180	157.1872	16.1954	
mkirby849a_3_1_ax_MNI.img	InferiorWM_R	59848	56.6326	192.9800	156.6405	15.9554	
mkirby849a_3_1_ax_MNI.img	LimbicWM_L	13896	50.7206	195.0376	151.8287	16.6468	
mkirby849a_3_1_ax_MNI.img	LimbicWM_R	12444	53.9555	186.0624	151.0906	16.7212	
mkirby849a_3_1_ax_MNI.img	LateralVentricle_L	8748	3.3614	149.6179	47.4547	27.4536	
mkirby849a_3_1_ax_MNI.img	LateralVentricle_R	7283	5.4548	141.0492	52.6965	27.6900	
mkirby849a_3_1_ax_MNI.img	III_ventricle	1802	19.8657	135.6818	69.4535	24.6506	
mkirby849a_3_1_ax_MNI.img	FrontSul_L	16941	0.5831	88.2230	33.5073	17.6846	
mkirby849a_3_1_ax_MNI.img	FrontSul_R	13442	0.7604	104.0994	37.9172	18.3497	
mkirby849a_3_1_ax_MNI.img	CentralSul_L	2860	3.4689	113.7315	39.8006	19.1581	
mkirby849a_3_1_ax_MNI.img	CentralSul_R	2077	4.1485	95.3850	44.9821	19.5362	
mkirby849a_3_1_ax_MNI.img	SylvianFissureExt_L	4739	5.3031	105.3731	47.7650	17.3183	
mkirby849a_3_1_ax_MNI.img	SylvianFissureExt_R	3628	6.8996	99.2870	52.8616	16.8579	
mkirby849a_3_1_ax_MNI.img	ParietSul_L	9935	0.9533	97.3227	41.5117	18.8132	
mkirby849a_3_1_ax_MNI.img	ParietSul_R	9874	0.7566	95.1730	39.3373	19.4714	
mkirby849a_3_1_ax_MNI.img	CinguSul_L	4302	9.2652	93.9152	50.4280	16.9963	
mkirby849a_3_1_ax_MNI.img	CinguSul_R	3738	5.8466	93.2063	46.6155	16.9652	
mkirby849a_3_1_ax_MNI.img	OcciptSul_L	2254	2.9267	94.2063	45.2255	19.2494	
mkirby849a_3_1_ax_MNI.img	OcciptSul_R	2709	7.3211	99.2213	52.8389	16.7286	
mkirby849a_3_1_ax_MNI.img	TempSul_L	1422	12.6081	89.6245	56.5035	14.6308	
mkirby849a_3_1_ax_MNI.img	TempSul_R	1376	15.5269	95.4223	59.0965	14.6289	
mkirby849a_3_1_ax_MNI.img	IV_ventricle	2939	12.7226	159.2490	56.0271	25.7191	



Type1-L4 Statistics

mkirby849a_3_1_ax_MNI.img	SFG_L	24947	25.8064	160.6818	90.7465	18.8396	
mkirby849a_3_1_ax_MNI.img	SFG_R	22612	27.5533	163.2190	92.5668	18.2993	
mkirby849a_3_1_ax_MNI.img	MFG_L	20346	21.7952	154.3669	87.1142	18.7220	
mkirby849a_3_1_ax_MNI.img	MFG_R	20884	32.2874	162.0270	90.5532	18.0605	
mkirby849a_3_1_ax_MNI.img	IFG_L	11251	30.1084	156.0720	93.8621	18.4359	
mkirby849a_3_1_ax_MNI.img	IFG_R	10155	21.4760	154.4062	94.7574	17.2845	
mkirby849a_3_1_ax_MNI.img	OG_L	9867	31.3343	151.4649	91.7171	17.2717	
mkirby849a_3_1_ax_MNI.img	OG_R	9428	19.4601	149.2980	92.3091	17.2748	
mkirby849a_3_1_ax_MNI.img	RG_L	5131	26.5456	155.8710	91.7820	17.2934	
mkirby849a_3_1_ax_MNI.img	RG_R	6000	28.8682	152.3523	93.3611	16.8617	
mkirby849a_3_1_ax_MNI.img	PoCG_L	15163	16.4968	166.9453	95.4677	19.8647	
mkirby849a_3_1_ax_MNI.img	PoCG_R	13064	15.4931	157.7375	97.2836	19.9604	
mkirby849a_3_1_ax_MNI.img	PrCG_L	14539	17.0321	155.2691	96.9741	19.7460	
mkirby849a_3_1_ax_MNI.img	PrCG_R	16486	18.2305	160.2406	97.7201	19.1866	
mkirby849a_3_1_ax_MNI.img	SPG_L	8949	30.0876	165.5493	97.4328	20.8327	
mkirby849a_3_1_ax_MNI.img	SPG_R	7810	17.5101	160.9085	97.6868	20.7246	
mkirby849a_3_1_ax_MNI.img	SMG_L	10597	18.2986	153.3396	91.1208	18.1669	
mkirby849a_3_1_ax_MNI.img	SMG_R	10793	33.1272	149.0437	93.6317	17.5282	
mkirby849a_3_1_ax_MNI.img	AG_L	8902	21.8549	159.8708	91.8756	19.2540	
mkirby849a_3_1_ax_MNI.img	AG_R	14107	27.0280	156.2886	89.5513	17.1212	
mkirby849a_3_1_ax_MNI.img	PrCu_L	6681	20.1399	159.6882	93.8033	18.4786	
mkirby849a_3_1_ax_MNI.img	PrCu_R	7141	31.9211	165.7139	90.7756	17.6222	
mkirby849a_3_1_ax_MNI.img	STG_L	19964	19.3911	148.2575	92.8881	16.4107	
mkirby849a_3_1_ax_MNI.img	STG_R	17979	19.4568	148.0211	94.9444	15.8061	
mkirby849a_3_1_ax_MNI.img	MTG_L	19690	21.5638	171.7991	92.6800	19.2280	
mkirby849a_3_1_ax_MNI.img	MTG_R	19162	30.9316	162.0994	93.2828	17.7595	
mkirby849a_3_1_ax_MNI.img	ITG_L	12344	7.5242	162.0665	92.6497	18.9745	
mkirby849a_3_1_ax_MNI.img	ITG_R	14053	26.8006	154.7892	92.4298	17.0981	
mkirby849a_3_1_ax_MNI.img	Limbic_L	2248	41.1522	150.2512	107.4194	15.9059	
mkirby849a_3_1_ax_MNI.img	Limbic_R	2274	59.3002	161.1537	111.5024	15.2576	
mkirby849a_3_1_ax_MNI.img	FuG_L	16794	27.3645	167.2859	95.7262	16.1516	
mkirby849a_3_1_ax_MNI.img	FuG_R	15751	23.1338	157.7683	95.4845	15.2648	
mkirby849a_3_1_ax_MNI.img	SOG_L	2582	17.0908	160.2092	97.2860	20.2738	
mkirby849a_3_1_ax_MNI.img	SOG_R	2551	27.5969	161.2733	100.5149	20.2837	
mkirby849a_3_1_ax_MNI.img	MOG_L	16422	11.4811	162.2834	91.9072	20.7366	
mkirby849a_3_1_ax_MNI.img	MOG_R	16267	26.7954	159.3450	92.3674	19.4965	
mkirby849a_3_1_ax_MNI.img	IOG_L	4811	16.1252	176.3664	99.7053	23.1548	
mkirby849a_3_1_ax_MNI.img	IOG_R	5849	32.4852	167.0083	97.0202	21.2717	
mkirby849a_3_1_ax_MNI.img	Cu_L	6242	16.9327	162.3170	101.0493	21.8729	
mkirby849a_3_1_ax_MNI.img	Cu_R	5588	16.5398	159.6802	98.6833	22.0724	
mkirby849a_3_1_ax_MNI.img	LG_L	8661	16.7462	153.4145	98.0232	19.7662	
mkirby849a_3_1_ax_MNI.img	LG_R	8607	12.0307	156.4176	96.1695	20.4687	
mkirby849a_3_1_ax_MNI.img	Cingulate_L	24219	30.2704	163.8898	96.9844	17.7029	
mkirby849a_3_1_ax_MNI.img	Cingulate_R	25615	20.0039	166.3757	94.5294	17.5352	
mkirby849a_3_1_ax_MNI.img	Insula_L	7010	22.7885	153.3045	96.0783	15.3124	
mkirby849a_3_1_ax_MNI.img	Insula_R	7337	30.2922	148.0538	99.9084	15.6303	
mkirby849a_3_1_ax_MNI.img	Amyg_L	1932	62.3910	144.7498	111.9197	8.8715	
mkirby849a_3_1_ax_MNI.img	Amyg_R	2163	69.5594	153.2733	114.7259	9.2283	
mkirby849a_3_1_ax_MNI.img	Hippo_L	3879	46.7074	168.4751	109.3123	12.2217	
mkirby849a_3_1_ax_MNI.img	Hippo_R	4159	62.5828	161.0412	108.9378	12.4649	
mkirby849a_3_1_ax_MNI.img	Caud_L	3152	64.8084	165.9928	121.9467	13.6673	
mkirby849a_3_1_ax_MNI.img	Caud_R	3248	75.7570	161.0066	122.8627	12.7021	
mkirby849a_3_1_ax_MNI.img	Put_L	4853	105.0353	169.9657	142.4598	8.9405	
mkirby849a_3_1_ax_MNI.img	Put_R	4714	99.0933	176.2646	142.8506	8.6873	
mkirby849a_3_1_ax_MNI.img	GP_L	1469	142.5611	193.3670	165.6017	7.1159	
mkirby849a_3_1_ax_MNI.img	GP_R	1518	142.1790	199.0083	165.9137	7.0356	
mkirby849a_3_1_ax_MNI.img	Thalamus_L	6292	84.2346	179.1910	143.1729	13.8508	
mkirby849a_3_1_ax_MNI.img	Thalamus_R	6293	74.6778	179.9725	142.6914	14.4512	
mkirby849a_3_1_ax_MNI.img	BasalForebrain_L	4096	84.6628	201.1302	139.1620	22.1026	
mkirby849a_3_1_ax_MNI.img	BasalForebrain_R	4112	54.4746	198.8287	138.3419	20.9993	
mkirby849a_3_1_ax_MNI.img	midbrain_L	5332	88.6923	199.6359	164.9368	14.4635	
mkirby849a_3_1_ax_MNI.img	midbrain_R	5349	86.8792	207.1547	164.5534	15.7957	
mkirby849a_3_1_ax_MNI.img	Cerebellum_R	62580	16.2645	171.0296	105.4076	21.2626	
mkirby849a_3_1_ax_MNI.img	Cerebellum_L	64316	14.3551	181.3136	107.4028	21.6204	
mkirby849a_3_1_ax_MNI.img	Pons_L	8614	64.0012	190.5970	161.0460	14.5163	
mkirby849a_3_1_ax_MNI.img	Pons_R	8742	79.3945	188.8058	161.1723	12.6536	
mkirby849a_3_1_ax_MNI.img	Medulla_L	2296	49.5922	197.2566	155.3005	24.0181	
mkirby849a_3_1_ax_MNI.img	Medulla_R	2502	60.1097	193.0854	157.5928	20.5408	
mkirby849a_3_1_ax_MNI.img	ant_DPWM_L	30572	123.3736	188.7411	166.2686	5.2465	
mkirby849a_3_1_ax_MNI.img	ant_DPWM_R	31280	120.7697	190.8539	165.9037	5.2563	
mkirby849a_3_1_ax_MNI.img	post_DPWM_L	7210	147.1679	178.5771	165.9441	3.7717	
mkirby849a_3_1_ax_MNI.img	post_DPWM_R	6563	137.1528	179.1262	166.1367	3.8178	
mkirby849a_3_1_ax_MNI.img	GCC_L	3276	89.8410	188.7761	163.4556	12.1769	
mkirby849a_3_1_ax_MNI.img	GCC_R	3242	88.0126	184.2369	162.2879	11.6461	
mkirby849a_3_1_ax_MNI.img	BCC_L	4466	76.9058	181.9372	161.3507	13.1926	
mkirby849a_3_1_ax_MNI.img	BCC_R	4030	92.8973	181.7351	161.0801	13.4843	
mkirby849a_3_1_ax_MNI.img	SCC_L	6635	77.8727	185.9024	163.4477	12.1412	
mkirby849a_3_1_ax_MNI.img	SCC_R	7151	82.0733	186.0496	163.9952	11.3847	
mkirby849a_3_1_ax_MNI.img	PVA_posterior_L	914	55.7539	171.0847	115.6633	24.0699	
mkirby849a_3_1_ax_MNI.img	PVA_posterior_R	797	56.6326	164.8805	114.3436	23.4794	
mkirby849a_3_1_ax_MNI.img	ALIC_L	2033	133.6725	194.0039	168.0757	9.6974	
mkirby849a_3_1_ax_MNI.img	ALIC_R	2099	135.5167	190.7491	167.7560	8.8470	
mkirby849a_3_1_ax_MNI.img	PLIC_L	2871	140.2710	188.3259	169.2963	7.2703	
mkirby849a_3_1_ax_MNI.img	PLIC_R	2828	134.8903	192.9800	168.6209	7.5094	
mkirby849a_3_1_ax_MNI.img	inf_DPWM_L	22913	79.8465	194.9180	161.4343	13.7296	
mkirby849a_3_1_ax_MNI.img	inf_DPWM_R	20816	102.6575	191.5866	161.9398	12.9933	
mkirby849a_3_1_ax_MNI.img	CGC_L	3323	104.8338	179.7814	155.5086	14.2311	
mkirby849a_3_1_ax_MNI.img	CGC_R	3231	99.3520	186.0624	155.0103	14.6490	
mkirby849a_3_1_ax_MNI.img	CGH_L	1936	105.9891	186.2217	152.7988	15.0737	
mkirby849a_3_1_ax_MNI.img	CGH_R	1862	112.3139	180.8955	153.8880	14.2278	
mkirby849a_3_1_ax_MNI.img	Fx/ST_L	1541	92.3149	195.0376	152.0331	15.5279	
mkirby849a_3_1_ax_MNI.img	Fx/ST_R	1381	88.1547	184.9834	152.7083	14.9848	
mkirby849a_3_1_ax_MNI.img	Fx_L	608	50.7206	182.5737	119.1985	30.1264	
mkirby849a_3_1_ax_MNI.img	Fx_R	778	53.9555	178.8249	128.6168	27.9752	
mkirby849a_3_1_ax_MNI.img	PeripheralParietalWM_L	41161	91.5096	188.9857	156.8546	15.6798	
mkirby849a_3_1_ax_MNI.img	PeripheralParietalWM_R	41201	91.2425	190.0124	156.1260	15.8963	
mkirby849a_3_1_ax_MNI.img	AnteriorLateralVentricle_L	6058	3.3614	132.6738	43.1617	24.4090	
mkirby849a_3_1_ax_MNI.img	PosteriorLateralVentricle_L	1958	5.5601	145.6565	47.0908	26.4090	
mkirby849a_3_1_ax_MNI.img	InferiorLateralVentricle_L	732	5.1839	149.6179	83.9569	26.9383	
mkirby849a_3_1_ax_MNI.img	AnteriorLateralVentricle_R	5149	5.4548	136.5997	48.1748	25.4315	
mkirby849a_3_1_ax_MNI.img	PosteriorLateralVentricle_R	1454	7.7777	139.2989	54.4500	28.1994	
mkirby849a_3_1_ax_MNI.img	InferiorLateralVentricle_R	680	20.0757	141.0492	83.1863	22.8753	
mkirby849a_3_1_ax_MNI.img	III_ventricle	1802	19.8657	135.6818	69.4535	24.6506	
mkirby849a_3_1_ax_MNI.img	PVA_anterior_L	694	43.1954	160.5155	122.5552	24.9132	
mkirby849a_3_1_ax_MNI.img	PVA_anterior_R	736	66.0015	163.7291	129.6950	18.6379	
mkirby849a_3_1_ax_MNI.img	PeripheralFrontalWM_L	50256	89.0566	188.8059	154.3746	16.7660	
mkirby849a_3_1_ax_MNI.img	PeripheralFrontalWM_R	51990	91.2582	192.8618	153.9598	16.3043	
mkirby849a_3_1_ax_MNI.img	PeripheralTemporalWM_L	33114	93.1393	192.3164	152.8826	16.5903	
mkirby849a_3_1_ax_MNI.img	PeripheralTemporalWM_R	33842	93.8290	187.7982	151.9688	16.2321	
mkirby849a_3_1_ax_MNI.img	PeripheralOccipitalWM_L	27945	70.5440	189.9759	153.5846	16.8634	
mkirby849a_3_1_ax_MNI.img	PeripheralOccipitalWM_R	29974	88.0633	195.1301	154.7180	16.4588	
mkirby849a_3_1_ax_MNI.img	PeripheralCingulateWM_L	6488	103.0947	182.7175	152.6637	13.1141	
mkirby849a_3_1_ax_MNI.img	PeripheralCingulateWM_R	5192	106.1175	176.7803	150.5855	14.0711	
mkirby849a_3_1_ax_MNI.img	CerebellumWM_R	14294	101.4906	192.8298	161.6937	12.1357	
mkirby849a_3_1_ax_MNI.img	CerebellumWM_L	13723	105.3672	196.0254	162.6724	11.7053	
mkirby849a_3_1_ax_MNI.img	FrontSul_L	16941	0.5831	88.2230	33.5073	17.6846	
mkirby849a_3_1_ax_MNI.img	FrontSul_R	13442	0.7604	104.0994	37.9172	18.3497	
mkirby849a_3_1_ax_MNI.img	CentralSul_L	2860	3.4689	113.7315	39.8006	19.1581	
mkirby849a_3_1_ax_MNI.img	CentralSul_R	2077	4.1485	95.3850	44.9821	19.5362	
mkirby849a_3_1_ax_MNI.img	SylFrontSul_L	1950	5.3031	94.6972	45.7276	18.0661	
mkirby849a_3_1_ax_MNI.img	SylFrontSul_R	1635	6.8996	97.8229	51.0451	17.9039	
mkirby849a_3_1_ax_MNI.img	SylTempSul_L	2434	6.0162	105.3731	48.8997	16.7910	
mkirby849a_3_1_ax_MNI.img	SylTempSul_R	1883	10.3312	99.2870	54.6903	15.8888	
mkirby849a_3_1_ax_MNI.img	SylParieSul_L	355	15.3256	85.7508	51.1763	15.3181	
mkirby849a_3_1_ax_MNI.img	SylParieSul_R	110	17.2588	80.5142	48.5573	12.7353	
mkirby849a_3_1_ax_MNI.img	ParietSul_L	9935	0.9533	97.3227	41.5117	18.8132	
mkirby849a_3_1_ax_MNI.img	ParietSul_R	9874	0.7566	95.1730	39.3373	19.4714	
mkirby849a_3_1_ax_MNI.img	CinguSul_L	4302	9.2652	93.9152	50.4280	16.9963	
mkirby849a_3_1_ax_MNI.img	CinguSul_R	3738	5.8466	93.2063	46.6155	16.9652	
mkirby849a_3_1_ax_MNI.img	OcciptSul_L	2254	2.9267	94.2063	45.2255	19.2494	
mkirby849a_3_1_ax_MNI.img	OcciptSul_R	2709	7.3211	99.2213	52.8389	16.7286	
mkirby849a_3_1_ax_MNI.img	TempSul_L	1422	12.6081	89.6245	56.5035	14.6308	
mkirby849a_3_1_ax_MNI.img	TempSul_R	1376	15.5269	95.4223	59.0965	14.6289	
mkirby849a_3_1_ax_MNI.img	Caudate_tail_L	426	66.1279	149.7289	113.1974	16.4555	
mkirby849a_3_1_ax_MNI.img	Caudate_tail_R	466	65.1220	155.0695	116.1854	15.0110	
mkirby849a_3_1_ax_MNI.img	IV_ventricle	2939	12.7226	159.2490	56.0271	25.7191	



Type1-L5 Statistics

mkirby849a_3_1_ax_MNI.img	SFG_L	11300	26.8268	151.2576	92.2262	18.1708	
mkirby849a_3_1_ax_MNI.img	SFG_R	8537	35.5389	147.4818	93.7314	17.5233	
mkirby849a_3_1_ax_MNI.img	SFG_PFC_L	11194	25.8064	160.6818	89.7386	19.3977	
mkirby849a_3_1_ax_MNI.img	SFG_PFC_R	10008	27.5533	154.3438	91.6875	18.6705	
mkirby849a_3_1_ax_MNI.img	SFG_pole_L	2453	26.2525	152.4987	88.5293	18.7606	
mkirby849a_3_1_ax_MNI.img	SFG_pole_R	4067	33.4073	163.2190	92.2859	18.8309	
mkirby849a_3_1_ax_MNI.img	MFG_L	7949	23.2365	154.3669	90.8791	18.9132	
mkirby849a_3_1_ax_MNI.img	MFG_R	9355	32.2874	162.0270	94.5532	18.1309	
mkirby849a_3_1_ax_MNI.img	MFG_DPFC_L	12397	21.7952	153.8613	84.7001	18.1929	
mkirby849a_3_1_ax_MNI.img	MFG_DPFC_R	11529	33.9890	154.9000	87.3074	17.3378	
mkirby849a_3_1_ax_MNI.img	IFG_opercularis_L	3314	31.3383	144.3851	91.7857	17.7331	
mkirby849a_3_1_ax_MNI.img	IFG_opercularis_R	3536	21.4760	154.4062	95.7118	16.0230	
mkirby849a_3_1_ax_MNI.img	IFG_orbitalis_L	4445	30.1084	156.0720	95.0580	19.2209	
mkirby849a_3_1_ax_MNI.img	IFG_orbitalis_R	3477	34.4565	147.0988	95.4702	17.9201	
mkirby849a_3_1_ax_MNI.img	IFG_triangularis_L	3492	30.5545	144.3456	94.3103	17.8960	
mkirby849a_3_1_ax_MNI.img	IFG_triangularis_R	3142	29.9092	151.4857	92.8945	17.7825	
mkirby849a_3_1_ax_MNI.img	LFOG_L	5209	31.3343	151.4649	90.8791	17.6072	
mkirby849a_3_1_ax_MNI.img	LFOG_R	5042	28.3303	145.4914	92.3853	17.2777	
mkirby849a_3_1_ax_MNI.img	MFOG_L	4658	31.5101	147.2407	92.6542	16.8393	
mkirby849a_3_1_ax_MNI.img	MFOG_R	4386	19.4601	149.2980	92.2214	17.2711	
mkirby849a_3_1_ax_MNI.img	RG_L	5131	26.5456	155.8710	91.7820	17.2934	
mkirby849a_3_1_ax_MNI.img	RG_R	6000	28.8682	152.3523	93.3611	16.8617	
mkirby849a_3_1_ax_MNI.img	PoCG_L	15163	16.4968	166.9453	95.4677	19.8647	
mkirby849a_3_1_ax_MNI.img	PoCG_R	13064	15.4931	157.7375	97.2836	19.9604	
mkirby849a_3_1_ax_MNI.img	PrCG_L	14539	17.0321	155.2691	96.9741	19.7460	
mkirby849a_3_1_ax_MNI.img	PrCG_R	16486	18.2305	160.2406	97.7201	19.1866	
mkirby849a_3_1_ax_MNI.img	SPG_L	8949	30.0876	165.5493	97.4328	20.8327	
mkirby849a_3_1_ax_MNI.img	SPG_R	7810	17.5101	160.9085	97.6868	20.7246	
mkirby849a_3_1_ax_MNI.img	SMG_L	10597	18.2986	153.3396	91.1208	18.1669	
mkirby849a_3_1_ax_MNI.img	SMG_R	10793	33.1272	149.0437	93.6317	17.5282	
mkirby849a_3_1_ax_MNI.img	AG_L	8902	21.8549	159.8708	91.8756	19.2540	
mkirby849a_3_1_ax_MNI.img	AG_R	14107	27.0280	156.2886	89.5513	17.1212	
mkirby849a_3_1_ax_MNI.img	PrCu_L	6681	20.1399	159.6882	93.8033	18.4786	
mkirby849a_3_1_ax_MNI.img	PrCu_R	7141	31.9211	165.7139	90.7756	17.6222	
mkirby849a_3_1_ax_MNI.img	STG_L	14200	19.3911	148.2575	94.3118	16.7094	
mkirby849a_3_1_ax_MNI.img	STG_R	12474	19.4568	148.0211	96.6511	15.9007	
mkirby849a_3_1_ax_MNI.img	STG_L_pole	5764	30.7944	135.7653	89.3805	15.0877	
mkirby849a_3_1_ax_MNI.img	STG_R_pole	5505	19.8957	136.8304	91.0769	14.8823	
mkirby849a_3_1_ax_MNI.img	MTG_L	17621	21.5638	171.7991	93.1996	19.6172	
mkirby849a_3_1_ax_MNI.img	MTG_R	16903	30.9316	162.0994	93.8667	18.0244	
mkirby849a_3_1_ax_MNI.img	MTG_L_pole	2069	35.7151	141.6534	88.2548	14.8020	
mkirby849a_3_1_ax_MNI.img	MTG_R_pole	2259	37.7487	140.8477	88.9142	14.9275	
mkirby849a_3_1_ax_MNI.img	ITG_L	12344	7.5242	162.0665	92.6497	18.9745	
mkirby849a_3_1_ax_MNI.img	ITG_R	14053	26.8006	154.7892	92.4298	17.0981	
mkirby849a_3_1_ax_MNI.img	PHG_L	1281	41.1522	150.2512	104.3828	16.8803	
mkirby849a_3_1_ax_MNI.img	PHG_R	1429	59.3002	161.1537	110.9010	15.5920	
mkirby849a_3_1_ax_MNI.img	ENT_L	967	58.8035	148.0800	111.4421	13.5011	
mkirby849a_3_1_ax_MNI.img	ENT_R	845	66.6768	153.1165	112.5194	14.6185	
